"filename", "language", "Lua", "C++", "PowerShell", "Makefile", "comment", "blank", "total"
"c:\Users\Silve\Develop\CSOL-24H\source\Commander.ps1", "PowerShell", 0, 0, 23, 0, 0, 3, 26
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\CSOL24H.cpp", "C++", 0, 237, 0, 0, 15, 10, 262
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\CSOL24H_EXCEPT.cpp", "C++", 0, 18, 0, 0, 0, 3, 21
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\Command.cpp", "C++", 0, 30, 0, 0, 0, 2, 32
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\Console.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\DateTime.cpp", "C++", 0, 101, 0, 0, 25, 4, 130
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\GameStateWatcher.cpp", "C++", 0, 226, 0, 0, 10, 5, 241
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\HotKey.cpp", "C++", 0, 76, 0, 0, 0, 6, 82
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\Makefile", "Makefile", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\Util.cpp", "C++", 0, 49, 0, 0, 0, 2, 51
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\WatchGameProcess.cpp", "C++", 0, 69, 0, 0, 2, 1, 72
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\main.cpp", "C++", 0, 53, 0, 0, 0, 2, 55
"c:\Users\Silve\Develop\CSOL-24H\source\RoundTimer.ps1", "PowerShell", 0, 0, 0, 0, 1, 2, 3
"c:\Users\Silve\Develop\CSOL-24H\source\include\CSOL24H.hpp", "C++", 0, 76, 0, 0, 21, 3, 100
"c:\Users\Silve\Develop\CSOL-24H\source\include\CSOL24H_EXCEPT.hpp", "C++", 0, 43, 0, 0, 0, 5, 48
"c:\Users\Silve\Develop\CSOL-24H\source\include\Command.hpp", "C++", 0, 15, 0, 0, 0, 1, 16
"c:\Users\Silve\Develop\CSOL-24H\source\include\GameState.hpp", "C++", 0, 54, 0, 0, 6, 3, 63
"c:\Users\Silve\Develop\CSOL-24H\source\include\Util.hpp", "C++", 0, 6, 0, 0, 8, 2, 16
"c:\Users\Silve\Develop\CSOL-24H\source\logi\Craft.lua", "Lua", 27, 0, 0, 0, 0, 2, 29
"c:\Users\Silve\Develop\CSOL-24H\source\logi\Dispacher.lua", "Lua", 22, 0, 0, 0, 0, 1, 23
"c:\Users\Silve\Develop\CSOL-24H\source\logi\Player.lua", "Lua", 204, 0, 0, 0, 87, 25, 316
"c:\Users\Silve\Develop\CSOL-24H\source\logi\Round.lua", "Lua", 234, 0, 0, 0, 34, 11, 279
"c:\Users\Silve\Develop\CSOL-24H\source\logi\Store.lua", "Lua", 22, 0, 0, 0, 0, 2, 24
"c:\Users\Silve\Develop\CSOL-24H\source\logi\Utility.lua", "Lua", 25, 0, 0, 0, 10, 4, 39
"c:\Users\Silve\Develop\CSOL-24H\source\logi\Weapon.lua", "Lua", 56, 0, 0, 0, 21, 6, 83
"c:\Users\Silve\Develop\CSOL-24H\source\logi\main.lua", "Lua", 31, 0, 0, 0, 0, 4, 35
"c:\Users\Silve\Develop\CSOL-24H\source\lua\$~cmd.lua", "Lua", 2, 0, 0, 0, 0, 1, 3
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Command.lua", "Lua", 14, 0, 0, 0, 0, 0, 14
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Console.lua", "Lua", 20, 0, 0, 0, 14, 6, 40
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Context.lua", "Lua", 17, 0, 0, 0, 6, 3, 26
"c:\Users\Silve\Develop\CSOL-24H\source\lua\DateTime.lua", "Lua", 62, 0, 0, 0, 15, 4, 81
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Delay.lua", "Lua", 14, 0, 0, 0, 0, 0, 14
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Executor.lua", "Lua", 50, 0, 0, 0, 8, 6, 64
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Global.lua", "Lua", 24, 0, 0, 0, 1, 0, 25
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Interpreter.lua", "Lua", 39, 0, 0, 0, 1, 1, 41
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Keyboard.lua", "Lua", 130, 0, 0, 0, 34, 14, 178
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Mouse.lua", "Lua", 123, 0, 0, 0, 56, 14, 193
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Runtime.lua", "Lua", 103, 0, 0, 0, 34, 10, 147
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Setting.lua", "Lua", 31, 0, 0, 0, 14, 1, 46
"c:\Users\Silve\Develop\CSOL-24H\source\lua\entrypoint.lua", "Lua", 1, 0, 0, 0, 0, 1, 2
"c:\Users\Silve\Develop\CSOL-24H\source\lua\main.lua", "Lua", 9, 0, 0, 0, 3, 0, 12
"Total", "-", 1260, 1053, 23, 8, 426, 172, 2942
